date,title,description,stock_group
2023-01-12,VN-Index continues sideways - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.06% to 1,056.39 points Thursday, having gone sideways since January 3.",VIB
2023-01-12,Nhiều hoạt động tương tác và quà tặng tại MoMo Lắc Xì 2023,"Thông qua Lắc Xì 2023 với nhiều quà tặng giá trị, MoMo mong muốn mang Tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIB
2023-02-07,Bustling M&A deals in banking industry at year beginning,"Right from the beginning of 2023, many banks have announced their plans for merge and acquisition (M&A) deals and capital increase.",VIB
2023-02-05,Banks plan to pay cash dividends for first time in three years,Some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,VIB
2023-01-26,Dollar drops on black market - VnExpress International,The U.S. dollar dropped slightly against the dong on the black market on Thursday morning.,ACB
2023-01-23,Dollar continues to rise on black market - VnExpress International,The U.S. dollar gained marginally against the Vietnamese dong Monday morning.,ACB
2023-01-13,Dollar slips on black market - VnExpress International,The U.S. dollar fell marginally on the black market but remained stable at banks on Friday afternoon.,ACB
2023-01-12,VN-Index continues sideways - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.06% to 1,056.39 points Thursday, having gone sideways since January 3.",ACB
2023-01-16,VN-Index hits 6-week high - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.61% to 1066.68 points Monday, highest since December 5.",ACB
2023-01-20,Dollar increases slightly on black market - VnExpress International,The U.S. dollar rose slightly against the Vietnamese dong on the black market Friday morning.,ACB
2023-01-11,Dollar gains on black market - VnExpress International,The U.S. dollar surged against the Vietnamese dong Wednesday afternoon on the black market.,ACB
2023-01-28,Dollar declines on black market - VnExpress International,"The U.S. dollar dropped 0.04% to VND23,540 at unofficial exchange points Saturday morning.",ACB
2023-02-02,Dollar inches up against dong - VnExpress International,The U.S. dollar gained marginally against the Vietnamese dong on the black market Thursday afternoon.,ACB
2023-02-09,"Sun Life Financial, Inc. (SLF) Q4 2022 Earnings Call Transcript","Sun Life Financial, Inc. (NYSE:NYSE:SLF) Q4 2022 Earnings Conference Call February 9, 2023 10:00 AM ETCompany ParticipantsYaniv Bitton - VP, Head of IR & Capital MarketsKevin Strain -...",ACB
2023-02-07,Bustling M&A deals in banking industry at year beginning,"Right from the beginning of 2023, many banks have announced their plans for merge and acquisition (M&A) deals and capital increase.",ACB
2023-02-05,Banks plan to pay cash dividends for first time in three years,Some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,ACB
2023-01-18,AFC On The Road - Vietnam,Vietnam is the key beneficiary in Asia of shifting supply chains. Tourism should make a strong comeback in 2023 as China re-opens.,VRE
2023-01-11,Những công nhân xa quê trên chuyến bay đoàn viên,"Chuyến bay của Vietnam Airlines cất cánh hôm 9/1 đưa hàng trăm lao động nghèo, nhiều năm không về quê, thậm chí chưa từng đi máy bay, đoàn viên cùng gia đình dịp Tết.",VIC
2023-01-11,Gỗ Trường Thành vào top 500 doanh nghiệp tư nhân lớn nhất Việt Nam,Tập đoàn Kỹ nghệ Gỗ Trường Thành (TTF) vào Top 500 doanh nghiệp tư nhân lớn nhất Việt Nam nhờ linh hoạt thích nghi với bối cảnh kinh doanh mới.,VIC
2023-01-11,Dấu ấn của kinh tế tư nhân trong lĩnh vực hạ tầng,"Nhiều doanh nghiệp tư nhân để lại dấu ấn ở những lĩnh vực mà vốn trước đây chỉ nhà nước đầu tư như xây dựng sân bay, cao tốc, cảng tàu khách quốc tế…",VIC
2023-01-11,BOE - Nhà cung ứng của Apple và Samsung muốn xây nhà máy ở Việt Nam,"Đối tác cung ứng màn hình cho cả 2 gã khổng lồ điện tử thế giới Apple và Samsung - BOE Technology Group lên kế hoạch triển khai xây dựng nhà máy mới tại Việt Nam, theo hãng tin Reuters.",VIC
2023-01-21,Ban Mai - cô bé mắc chứng khó đọc thành hoa hậu,"Ban Mai từng là cô bé mắc chứng khó đọc, vươn lên thành sinh viên xuất sắc, thực hiện nhiều dự án cộng đồng khi đăng quang Miss Peace Vietnam.",VIC
2023-01-21,Deaths on Location: How the ‘Twilight Zone’ and ‘Midnight Rider’ Tragedies May Influence ‘Rust’ Prosecution,"On the evening of July 23, 1982, “Animal House” director John Landis was filming a tricky nighttime helicopter scene for “Twilight Zone: The Movie.” The wide-open spaces of Indian Dunes, now part of Santa Clarita, Calif., were standing in for Vietnam, and the…",VIC
2023-01-21,Cổ phiếu Hòa Phát hút tiền nhà đầu tư ngoại,Giá chạm đáy hai năm trong khi triển vọng tăng trưởng dài hạn tích cực giúp HPG hút mạnh vốn của các quỹ đầu tư nước ngoài từ tháng 11 năm ngoái đến nay.,VIC
2023-01-21,H'Hen Niê: 'Tôi trải qua một năm kỳ diệu',"Hoa hậu H'Hen Niê nói có một năm hoạt động tích cực, thử sức với vai trò mới như đóng phim, làm giám khảo cho các cuộc thi nhan sắc.",VIC
2023-01-21,Táo quân 2023: Tiếng cười nhẹ nhàng,"Chương trình Táo quân 2023 giảm tính đả kích, tạo tiếng cười nhẹ nhàng khi mô phỏng các sân chơi nhan sắc dưới hạ giới.",VIC
2023-01-21,Mai Ngô giúp mẹ bán hoa Tết,TP HCM- Á hậu Mai Ngô cùng em gái phụ mẹ bán hoa những ngày giáp Tết Quý Mão.,VIC
2023-01-21,Deaths on Location: How the ‘Twilight Zone’ and ‘Midnight Rider’ Tragedies May Influence ‘Rust’ Prosecution,"On the evening of July 23, 1982, “Animal House” director John Landis was filming a tricky nighttime helicopter scene for “Twilight Zone: The Movie.” The wide-open spaces of Indian Dunes, now part of Santa Clarita, Calif., were standing in for Vietnam, and the…",VIC
2023-02-06,Bamboo Airways và BAA Training Vietnam hợp tác đào tạo phi công MPL,"Chương trình dự kiến đào tạo 100 học viên phi công cơ bản trong 3 năm, đem đến cơ hội làm việc tại hãng hàng không Bamboo Airways.",VIC
2023-02-06,Hàng không năm 2022 - bay nhiều vẫn lỗ,"Du lịch phục hồi nhưng năm 2022, Vietnam Airlines, Vietjet vẫn chịu nhiều khó khăn, trong khi các doanh nghiệp phụ trợ đã lãi lớn trở lại.",VIC
2023-02-06,USCIRF tiếp tục kêu gọi trả tự do cho ông Nguyễn Bắc Truyển,"Ủy ban Tự do Tôn giáo Quốc tế của Hoa Kỳ (USCIRF) vừa kêu gọi chính quyền Việt Nam trả tự do cho tù nhân lương tâm tôn giáo Nguyễn Bắc Truyển, người đang thụ án 11 năm tù với cáo buộc “Hoạt động nhằm lật đổ chính quyền nhân dân”.",VIC
2023-02-06,Đạo đức trong Influencer Marketing: Minh bạch trong thông tin tài trợ là yếu tố quan trọng nhất,"Trong nhiều năm qua, Influencer Marketing đã trở thành một hình thức marketing chủ chốt trong việc kết nối thương hiệu với người dùng. Theo Forbes, chỉ tính ...| Advertising Vietnam",VIC
2023-01-19,Khách mời bàn về thăng trầm của điện ảnh Việt,"Charlie Nguyễn, Bình Bồng Bột... cùng các khách mời bàn về thăng trầm của điện ảnh Việt năm qua trong ""Vietnam Cinema 2022"", phát sóng 12h ngày 22/1 trên K+Cine.",VIC
2023-01-19,Khách mời Vietnam Cinema bàn về thăng trầm của điện ảnh Việt,"Charlie Nguyễn, Bình Bồng Bột... cùng các khách mời bàn về thăng trầm của điện ảnh Việt năm qua trong ""Vietnam Cinema 2022"", phát sóng 12h ngày 22/1 trên K+Cine.",VIC
2023-01-19,Sacombank nhận hai giải thưởng về thương hiệu,Sacombank nhận giải thưởng Thương hiệu Vàng TP HCM năm 2022 và Top 50 Doanh nghiệp Xuất sắc nhất Việt Nam năm 2022.,VIC
2023-01-19,Đại sứ Anh Iain Frew: 'Tôi hoà mình vào truyền thống Tết của Việt Nam',Đại sứ Anh gửi lời chúc mừng năm mới bằng tiếng Việt tới độc giả của BBC News.,VIC
2023-01-19,Biển Đông có yên tĩnh không?,"Khi giới thiệu Thư chúc Tết của ông Tập Cận Bình gửi ông Trọng với thiên hạ, Trung Quốc cho biết, ông Bình đã nhắn ông Trọng là... Trung Quốc và Việt Nam có chung tương lai...",VIC
2023-01-12,"[QC] Thực hư lời đồn robot hút bụi “toàn năng, đột phá” của 2 siêu phẩm nhà Ecovacs","Tích hợp thêm nhiều chức năng thông minh, đột phá về công nghệ, Deebot X1 OMNI và Deebot X1 TURBO được rất nhiều người dùng đánh giá cao bởi thực sự trở thành trợ thủ đắc lực của mỗi gia đình.
 
Là thương hiệu chuyên sâu về robot hút bụi…",VIC
2023-01-12,Bảy nỗi sợ,"Tôi vừa tiễn một đoàn khách Pháp 10 người, đi du thuyền Hạ Long tham quan hai ngày một đêm.",VIC
2023-01-12,7 nỗi sợ của du khách,"Tôi vừa tiễn một đoàn khách Pháp 10 người, đi du thuyền Hạ Long tham quan hai ngày một đêm.",VIC
2023-01-12,Ngọc Châu catwalk kiểu 'hoa sen' ở bán kết Miss Universe,"Mỹ- Người đẹp diện đầm dạ hội của Chung Thanh Phong, thực hiện phong cách catwalk cảm hứng hoa sen ở bán kết Miss Universe 2022.",VIC
2023-01-12,Các nhà báo Mỹ và VN nói gì về lối làm truyền thông của VinFast?,Kevin Williams nói với BBC News Tiếng Việt về sự khác biệt mà ông nhận thấy trong cách làm truyền thông của VinFast.,VIC
2023-01-12,Vụ nữ sinh HUFLIT: Cần minh bạch thông tin thay vì đòi xử lý người đưa tin!,Trường Quân sự Quân khu 7 bác bỏ tin đồn hai nữ sinh của Trường Đại học Ngoại ngữ và Tin học Thành phố Hồ Chí Minh bị hiếp dâm hoặc nhảy lầu tự tử,VIC
2023-01-12,Nhiều hoạt động tương tác và quà tặng tại MoMo Lắc Xì 2023,"Thông qua Lắc Xì 2023 với nhiều quà tặng giá trị, MoMo mong muốn mang Tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIC
2023-02-04,Học cách đặt câu hỏi,"Sang tuổi 22, tôi bắt đầu học tiếng Đức, như vậy là hơi muộn để bắt đầu. Nhưng tôi tin rằng tuổi tác không phải là thiệt thòi.",VIC
2023-01-13,NashTech mở văn phòng mới tại Đà Nẵng,"NashTech khai trương văn phòng mới tại Đà Nẵng hôm 13/11, tại tầng 19, tòa Nhà Vietinbank, 36 Trần Quốc Toản, quận Hải Châu.",VIC
2023-01-13,Việt Nam sẽ là câu chuyện kinh tế thú vị nhất năm 2023,"Việt Nam đang ngày càng nhận được sự quan tâm của toàn thế giới. Điều này được thể hiện trong nhiều lĩnh vực khác nhau, bao gồm cả việc gia tăng số lượng các bài phân tích về chính trị và kinh tế của đất nước này trên các ấn phẩm có uy tín.",VIC
2023-02-02,Hoa hậu Ngọc Châu phủ nhận khai gian bằng cấp,"Hoa hậu Ngọc Châu, 28 tuổi, xác nhận chưa tốt nghiệp Đại học Tôn Đức Thắng nhưng phủ nhận khai gian bằng cấp như tin đồn.",VIC
2023-02-02,'Nhà bà Nữ doanh thu cao nhưng không bứt phá chất lượng',"Không thể chỉ dựa vào doanh thu thì có thể kết luận phim hay, dở.",VIC
2023-02-02,Khả năng huỷ niêm yết cổ phiếu Vietnam Airlines,"Ngày 2/2, Sở Giao dịch chứng khoán TP.HCM đã có thông báo gửi đến Tổng công ty Hàng không Việt Nam (Vietnam Airlines, mã: HVN) lưu ý về khả năng hủy niêm yết cổ phiếu.",VIC
2023-01-16,Tập đoàn Đông Dương đặt mục tiêu mở rộng 300 cửa hàng toàn quốc,"Doanh nghiệp hướng đến tạo dựng hệ sinh thái chăm sóc sức khỏe toàn diện, mục tiêu mở rộng 300 cửa hàng toàn quốc.",VIC
2023-01-16,Nhiều cơ hội đặt phòng khách sạn và tour chơi Tết giờ chót,"Sức mua năm nay thấp nên hiện khách sạn hoặc tour cho mùng 2 đến mùng 5 Tết vẫn còn nhiều, dành cho du khách quyết định đi chơi giờ chót.",VIC
2023-01-16,Nhiều cơ hội đặt khách sạn và tour chơi Tết giờ chót,"Sức mua năm nay thấp nên hiện khách sạn hoặc tour cho mùng 2 đến mùng 5 Tết vẫn còn nhiều, dành cho du khách quyết định đi chơi giờ chót.",VIC
2023-01-16,Degaussing System Market worth $740 Million by 2027 - Exclusive Report by MarketsandMarkets™,"The degaussing system market is projected to grow from USD 619 Million in 2022 to USD 740 Million by 2027, at a CAGR of 3.6% from 2022 to 2027 according to a...",VIC
2023-01-16,Degaussing System Market worth $740 Million by 2027 - Exclusive Report by MarketsandMarkets™,"CHICAGO, Jan. 16, 2023 /PRNewswire/ -- The degaussing system market is projected to grow from USD 619 Million in 2022 to USD 740 Million by 2027, at a CAGR of 3.6% from 2022 to 2027 according to a new report by MarketsandMarkets™. The market growth can be att…",VIC
2023-02-09,Bí quyết chạy ultra của runner Đà Nẵng,"Đà Nẵng- Bận rộn với con nhỏ, công việc ở xa nhà, nhưng Nguyễn Minh Tuấn vẫn có cách đặc biệt để tập luyện rồi chinh phục cự ly 100km, 160km với mốc thời gian ấn tượng.",VIC
2023-02-09,"Burt Bacharach, the essence of pop music success, dies at 94","Seen by some as his generation's greatest songwriter, Bacharach teamed up for hits such as 'I Say a Little Prayer' and 'Do You Know the Way to San Jose.'",VIC
2023-02-09,"Burt Bacharach, the essence of pop music success, dies at 94","LOS ANGELES — At the Brill Building, the legendary songwriters’ mecca on Broadway in New York City, composer Burt Bacharach first teamed with lyricist Hal David in 1956. Over the next decade, the two helped define the broad reaches of popular music with a run…",VIC
2023-02-09,Runner cả nước sẵn sàng cho giải chạy đêm TP HCM,"10.000 VĐV, trong đó có những tên tuổi hàng đầu sẽ có mặt tại TP HCM vào cuối tuần này, chinh phục giải VnExpress Marathon Ho Chi Minh City Midnight 2023.",VIC
2023-02-09,Runner sẵn sàng cho giải chạy đêm TP HCM,"10.000 VĐV, trong đó có những tên tuổi hàng đầu, sẽ có mặt tại TP HCM vào cuối tuần này, chinh phục giải VnExpress Marathon Ho Chi Minh City Midnight 2023.",VIC
2023-02-09,Runner đổ về TP HCM dự giải chạy đêm,"10.000 VĐV, trong đó có những tên tuổi hàng đầu sẽ có mặt tại TP HCM vào cuối tuần này, tham dự giải VnExpress Marathon Ho Chi Minh City Midnight 2023.",VIC
2023-01-28,"Cơ hội thoát vùng an toàn, thử thách bản thân tại Unilever","Chị Minh Nguyệt - Giám đốc kênh Hiện đại và Thương mai điện tử Unilever - thành công nhờ ""máu lửa"", sẵn sàng thoát khỏi vùng an toàn.",VIC
2023-01-28,Hoa hậu Mai Phương xin lỗi khán giả,"Hoa hậu Mai Phương, 23 tuổi, xin lỗi khán giả vì bị nhiều người chỉ trích ""nổi loạn"", ""thiếu tinh tế khi dùng mạng xã hội"".",VIC
2023-01-28,MV của Trọng Hiếu vào chung kết Eurovision Song Contest Đức,"""Dare To Be Different"" của Trọng Hiếu là một trong tám MV vào chung kết Eurovision Song Contest Đức.",VIC
2023-01-18,VietinBank lì xì khách hàng đầu xuân,Ngân hàng dành tặng lì xì bằng tiền mặt cùng hàng nghìn combo tài lộc cho các khách hàng khi gửi tiết kiệm và chi tiêu qua thẻ tín dụng.,VIC
2023-01-18,Người dùng chuộng thanh toán online,"Nhiều người chọn mua sắm, thanh toán với thẻ tín dụng VIB để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIC
2023-01-18,30 SFF Titles to Look Forward to in 2023,"I’m calling it First Sentence Euphoria. It’s that feeling you get when you read the first sentence of a novel and you know, you just know, that you’re in for something incredible. It’s the anticipation, the excitement of leafing through the first few pages of…",VIC
2023-01-30,Võ Hoàng Yến hội ngộ bạn trai ở Mỹ,"Người mẫu Võ Hoàng Yến du lịch, mua sắm, dành thời gian bên bạn trai tại Mỹ, sau một năm xa cách.",VIC
2023-01-30,H'Hen Niê: 'Tôi không còn khóc khi bị chê',"Hoa hậu H'Hen Niê nói hiện trưởng thành, đối mặt mọi thứ với tâm lý bình tĩnh thay vì khóc một mình khi bị chê bai giống trước đây.",VIC
2023-01-30,H'Hen Niê: 'Tôi không còn khóc một mình khi bị chê',"Hoa hậu H'Hen Niê nói hiện trưởng thành, đối mặt mọi thứ với tâm lý bình tĩnh thay vì khóc một mình khi bị chê bai giống trước đây.",VIC
2023-01-30,Chấp thuận cho Việt Nam cử 20 đội tham gia VEX Robotics,HÀ NỘI (Sputnik) - Việt Nam được cử 20 đội chơi tham gia tranh tài tại Giải vô địch thế giới VEX Robotics World Championship 2023 diễn ra vào tháng 5/2023 tại Hoa Kỳ.,VIC
2023-01-15,Aeon Mall Bình Tân hoàn tất cải tạo trước thềm năm mới,"Ngoài mở 24 gian hàng mới, Aeon Mall Bình Tân hoàn tất cải tạo, trùng tu, chuyển sang vị trí mới 49 cửa hàng ngay trước thềm xuân Quý Mão.",VIC
2023-01-31,Mặt số đồng hồ có bản đồ Việt Nam lập kỷ lục,"Lần đầu tiên mặt số đồng hồ tráng men Cloisonné tạo hình bản đồ Việt Nam, đường kính 19 mm, độ dày 1,1 mm được Vietkings xác lập kỷ lục.",VIC
2023-01-31,Đồng hồ lập kỷ lục có chi tiết bản đồ Việt Nam nhỏ nhất,"Lần đầu tiên mặt số đồng hồ tráng men Cloisonné tạo hình bản đồ Việt Nam, đường kính 19 mm, độ dày 1,1 mm được Vietkings xác lập kỷ lục.",VIC
2023-01-31,How Zimbabwe's Pangolins Are Being Given a Second Chance...,"[263Chat] Zimbabwe's wildlife landscape is endowed with 350 species of mammals, more than 500 birds and 131 fish species all of which adorn its environment, yet due to the increasing levels of poaching, wildlife's existence is under threat more than ever.",VIC
2023-02-10,'Du lịch Việt Nam có đủ yếu tố để vượt qua Thái Lan',"Ngành du lịch Việt Nam trong hơn một thập kỷ qua đã ghi nhận bước phát triển nhảy vọt, theo ông Kenneth Atkinson, Phó Chủ tịch Hội đồng tư vấn du lịch Việt Nam.",VIC
2023-02-10,Remembering Burt Bacharach,"Burt Bacharach, who is among the musical giants of our era, passed away at the age 94 on Wednesday.

Bacharach scored more than 50 chart hits in the U.S. and across the world, with artists such as Frank Sinatra, The Beatles, Dionne Warwick, Tom Jon...",VIC
2023-02-10,Hàn Quốc lần đầu tiên thừa nhận tội ác của binh lính Hàn đã gây ra tại Việt Nam,"Tuần này, chúng tôi rất hài lòng với những thông tin đa dạng và thú vị về Việt Nam trên các phương tiện truyền thông Nga và nước ngoài.",VIC
2023-02-07,Vietnam Airlines nối thêm đường bay đến Trung Quốc,"Trong hai tháng tới, 9/10 chặng bay đến Trung Quốc - thị trường đông khách Top 3 của Vietnam Airlines - sẽ được khôi phục sau gần 3 năm Covid.",VIC
2023-02-07,TOP 11 chiến lược marketing ngành FMCG năm 2023 - CleverAds,Chiến lược marketing ngành FMCG là gì? Nó đem lại những lợi ích gì cho doanh nghiệp? Những chiến lược marketing FMCG hiệu quả nhất trong năm 2023 là gì?,VIC
2023-01-23,Thẻ tín dụng VIB Travel Elite nhiều ưu đãi dịp Tết,"Thẻ VIB Travel Elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIC
2023-01-23,Lương nhân sự trung cao cấp khả năng tăng 5-25% năm nay,Khảo sát của một số hãng tuyển dụng cho biết lao động trung và cao cấp có thể nhận cơ hội tăng lương từ 5% đến 25% năm nay.,VIC
2023-01-27,Tân Uỷ ban Việt Nam ở Quốc hội Mỹ cam kết thúc đẩy nhân quyền,"Bốn lãnh đạo mới của Uỷ ban Việt Nam (Vietnam Caucus) thuộc Hạ viện Hoa Kỳ cam kết sẽ tập trung vào quan hệ song phương Mỹ-Việt và những vấn đề quan trọng đối với cộng đồng người Mỹ gốc Việt, nhất là việc vi phạm nhân quyền của chính quyền Việt Nam.",VIC
2023-01-27,Gia tăng xuất khẩu lao động và cải thiện thứ hạng về tệ nạn... ‘buôn người’ (p3),Báo cáo TIP 2022 cho thấy cộng đồng quốc tế nói chung và Mỹ nói riêng quan tâm đến vấn nạn buôn người như thế nào và cố gắng giải quyết tệ nạn đó ra sao.,VIC
2023-01-27,Lần đầu tiên học sinh Việt dự giải đấu Robotics lớn nhất thế giới,"20 đội thi của học sinh Việt Nam sẽ tranh tài tại giải đấu Robotics lớn nhất thế giới, diễn ra vào tháng 5/2023 tại Mỹ.",VIC
2023-01-27,Lần đầu tiên học sinh Việt dự giải vô địch Robotics lớn nhất thế giới,"Lần đầu tiên, 20 đội thi của học sinh Việt Nam tranh tài tại giải đấu Robotics lớn nhất thế giới, diễn ra vào tháng 5/2023 tại Mỹ.",VIC
2023-01-27,VN-Index secures 8-session winning streak - VnExpress International,Vietnam’s benchmark VN-Index rose 0.81 percent to 1117.1 points Friday in its eighth straight session gaining.,VIC
2023-01-27,Chính sách đối ngoại của Việt Nam sẽ nghiêng về phía nào?,"Tuần này, trên báo chí Nga và nước ngoài có rất nhiều bài viết nghiêm túc và phóng sự về Việt Nam phản ánh cả các sự kiện lịch sử và cuộc sống thường ngày của người Việt Nam, các tác giả viết về chính sách đối nội, nền kinh tế và ngành du l…",VIC
2023-01-24,Đại sứ Hoa Kỳ gửi thiệp chúc Tết tới trẻ khiếm thị,Đại sứ Hoa Kỳ Marc Knapper và phu nhân mới làm thiệp chữ nổi để gửi tới các trẻ em khiếm thị ở Việt Nam nhân dịp năm mới Quý Mão.,VIC
2023-01-24,"Nhu cầu về các sản phẩm ""Made in Vietnam"" đang chậm lại","VinaCapital cho rằng, tăng trưởng GDP của Việt Nam sẽ giảm xuống còn 6% trong năm 2023 và nhu cầu về các sản phẩm ""Made in Vietnam"" đang chậm lại.",VIC
2023-01-26,Gia tăng xuất khẩu lao động và cải thiện thứ hạng về tệ nạn... ‘buôn người’ (p2),"Ngoài Việt Nam còn có Campuchia, Brunei bị xếp vào “loại ba” – loại thấp nhất hay còn gọi là bị đưa vào “danh sách đen” vì tệ nạn “buôn người”...",VIC
2023-01-26,Xu hướng marketing “neo giữ” ký ức: Khi người tiêu dùng có xu hướng tìm về những giá trị tích cực trong quá khứ,"Trong một thế giới đầy “hỗn loạn”, người tiêu dùng có xu hướng tìm về những cảm giác an toàn và dễ chịu thông qua việc nhớ lại những trải nghiệm hạnh phúc tr...| Advertising Vietnam",VIC
