,date,title,description,stock_group,combine,full_labels
10,12/01/2023,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.","vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",VIB,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",3
11,12/01/2023,"nhiều hoạt động tương tác và quà tặng tại momo lắc xì 2023 thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động. thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.","thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIB,"nhiều hoạt động tương tác và quà tặng tại momo lắc xì 2023 thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động. thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",2
12,07/02/2023,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.","right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",VIB,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",2
13,05/02/2023,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,VIB,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,3
14,26/01/2023,dollar drops on black market - vnexpress international the u.s. dollar dropped slightly against the dong on the black market on thursday morning. the u.s. dollar dropped slightly against the dong on the black market on thursday morning.,the u.s. dollar dropped slightly against the dong on the black market on thursday morning.,ACB,dollar drops on black market - vnexpress international the u.s. dollar dropped slightly against the dong on the black market on thursday morning. the u.s. dollar dropped slightly against the dong on the black market on thursday morning.,2
15,23/01/2023,dollar continues to rise on black market - vnexpress international the u.s. dollar gained marginally against the vietnamese dong monday morning. the u.s. dollar gained marginally against the vietnamese dong monday morning.,the u.s. dollar gained marginally against the vietnamese dong monday morning.,ACB,dollar continues to rise on black market - vnexpress international the u.s. dollar gained marginally against the vietnamese dong monday morning. the u.s. dollar gained marginally against the vietnamese dong monday morning.,3
16,13/01/2023,dollar slips on black market - vnexpress international the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon. the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon.,the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon.,ACB,dollar slips on black market - vnexpress international the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon. the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon.,2
17,12/01/2023,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.","vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",ACB,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",3
18,16/01/2023,"vn-index hits 6-week high - vnexpress international vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5. vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5.","vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5.",ACB,"vn-index hits 6-week high - vnexpress international vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5. vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5.",3
19,20/01/2023,dollar increases slightly on black market - vnexpress international the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning. the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning.,the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning.,ACB,dollar increases slightly on black market - vnexpress international the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning. the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning.,3
20,11/01/2023,dollar gains on black market - vnexpress international the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market. the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market.,the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market.,ACB,dollar gains on black market - vnexpress international the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market. the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market.,3
21,28/01/2023,"dollar declines on black market - vnexpress international the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning. the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning.","the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning.",ACB,"dollar declines on black market - vnexpress international the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning. the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning.",3
22,02/02/2023,dollar inches up against dong - vnexpress international the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon. the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon.,the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon.,ACB,dollar inches up against dong - vnexpress international the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon. the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon.,3
23,09/02/2023,"sun life financial, inc. (slf) q4 2022 earnings call transcript sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -... sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -...","sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -...",ACB,"sun life financial, inc. (slf) q4 2022 earnings call transcript sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -... sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -...",2
24,07/02/2023,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.","right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",ACB,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",2
25,05/02/2023,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,ACB,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,3
26,18/01/2023,"người dùng chuộng thanh toán online nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng. nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.","nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIB,"người dùng chuộng thanh toán online nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng. nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",2
27,23/01/2023,"thẻ tín dụng vib travel elite nhiều ưu đãi dịp tết thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày. thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.","thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIB,"thẻ tín dụng vib travel elite nhiều ưu đãi dịp tết thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày. thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",3
28,13/01/2023,"vietnam international commercialbank : payment instruction for deposit book having due date during tet holiday 2023 (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will… (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…","(marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…",VIB,"vietnam international commercialbank : payment instruction for deposit book having due date during tet holiday 2023 (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will… (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…",2
29,12/01/2023,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.","vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",VIB,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",3
30,12/01/2023,"nhiều hoạt động tương tác và quà tặng tại momo lắc xì 2023 thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động. thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.","thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIB,"nhiều hoạt động tương tác và quà tặng tại momo lắc xì 2023 thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động. thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",2
31,07/02/2023,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.","right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",VIB,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",2
32,05/02/2023,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,VIB,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,3
33,26/01/2023,dollar drops on black market - vnexpress international the u.s. dollar dropped slightly against the dong on the black market on thursday morning. the u.s. dollar dropped slightly against the dong on the black market on thursday morning.,the u.s. dollar dropped slightly against the dong on the black market on thursday morning.,ACB,dollar drops on black market - vnexpress international the u.s. dollar dropped slightly against the dong on the black market on thursday morning. the u.s. dollar dropped slightly against the dong on the black market on thursday morning.,2
34,23/01/2023,dollar continues to rise on black market - vnexpress international the u.s. dollar gained marginally against the vietnamese dong monday morning. the u.s. dollar gained marginally against the vietnamese dong monday morning.,the u.s. dollar gained marginally against the vietnamese dong monday morning.,ACB,dollar continues to rise on black market - vnexpress international the u.s. dollar gained marginally against the vietnamese dong monday morning. the u.s. dollar gained marginally against the vietnamese dong monday morning.,3
35,13/01/2023,dollar slips on black market - vnexpress international the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon. the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon.,the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon.,ACB,dollar slips on black market - vnexpress international the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon. the u.s. dollar fell marginally on the black market but remained stable at banks on friday afternoon.,2
36,12/01/2023,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.","vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",ACB,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",3
37,16/01/2023,"vn-index hits 6-week high - vnexpress international vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5. vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5.","vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5.",ACB,"vn-index hits 6-week high - vnexpress international vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5. vietnam’s benchmark vn-index rose 0.61% to 1066.68 points monday, highest since december 5.",3
38,20/01/2023,dollar increases slightly on black market - vnexpress international the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning. the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning.,the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning.,ACB,dollar increases slightly on black market - vnexpress international the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning. the u.s. dollar rose slightly against the vietnamese dong on the black market friday morning.,3
39,11/01/2023,dollar gains on black market - vnexpress international the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market. the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market.,the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market.,ACB,dollar gains on black market - vnexpress international the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market. the u.s. dollar surged against the vietnamese dong wednesday afternoon on the black market.,3
40,28/01/2023,"dollar declines on black market - vnexpress international the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning. the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning.","the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning.",ACB,"dollar declines on black market - vnexpress international the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning. the u.s. dollar dropped 0.04% to vnd23,540 at unofficial exchange points saturday morning.",3
41,02/02/2023,dollar inches up against dong - vnexpress international the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon. the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon.,the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon.,ACB,dollar inches up against dong - vnexpress international the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon. the u.s. dollar gained marginally against the vietnamese dong on the black market thursday afternoon.,3
42,09/02/2023,"sun life financial, inc. (slf) q4 2022 earnings call transcript sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -... sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -...","sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -...",ACB,"sun life financial, inc. (slf) q4 2022 earnings call transcript sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -... sun life financial, inc. (nyse:nyse:slf) q4 2022 earnings conference call february 9, 2023 10:00 am etcompany participantsyaniv bitton - vp, head of ir & capital marketskevin strain -...",2
43,07/02/2023,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.","right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",ACB,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",2
44,05/02/2023,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,ACB,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,3
